[zwb495@hendrixfut03fl misc]$ python3 findRescale.py 
Series: 1.2.840.113713.4.100.1.2.100209788111034576238766209483056 -> Min: 0.0, Max: 2967.0
Series: 1.2.840.113713.4.100.1.2.129380260712314276832807136170970 -> Min: 0.0, Max: 2695.0
Series: 1.2.840.113713.4.100.1.2.129468844612088168236982719340262 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.131522482912143271517793212242223 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.132720172612523138223874059913799 -> Min: 0.0, Max: 3766.0
Series: 1.2.840.113713.4.100.1.2.132994661613726131942849091983876 -> Min: 0.0, Max: 3145.0
Series: 1.2.840.113713.4.100.1.2.133345464511746592116018653730854 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.135416049912498020929917528431248 -> Min: 0.0, Max: 2849.0
Series: 1.2.840.113713.4.100.1.2.137340062611237156517067928483418 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.137701938712191408233983548531416 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.140338556611407217602493922902233 -> Min: 0.0, Max: 3019.0
Series: 1.2.840.113713.4.100.1.2.140795637110617963616628722240519 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.144050573412469248334495359323888 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.145376017512269643805739094160421 -> Min: 0.0, Max: 2776.0
Series: 1.2.840.113713.4.100.1.2.146717561236386952415853199364429 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.147348386611240432106134934163270 -> Min: 0.0, Max: 4079.0
Series: 1.2.840.113713.4.100.1.2.148552339711218885706807423011387 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.149008847111441589325785468462518 -> Min: 0.0, Max: 3082.0
Series: 1.2.840.113713.4.100.1.2.149813746311296052633967640932270 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.150589959911835748314100694361144 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.154843831411548965504140553232241 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.156501573310239851537348850472444 -> Min: 0.0, Max: 3103.0
Series: 1.2.840.113713.4.100.1.2.159111520811406279031910634553498 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.160823081211434077128651979741889 -> Min: 0.0, Max: 2948.0
Series: 1.2.840.113713.4.100.1.2.161539449134480846128006801318696 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.163362258812107284034793496401420 -> Min: 0.0, Max: 2827.0
Series: 1.2.840.113713.4.100.1.2.164313718211784072633742516941559 -> Min: 0.0, Max: 2629.0
Series: 1.2.840.113713.4.100.1.2.164835030312941235228073606413865 -> Min: 0.0, Max: 2714.0
Series: 1.2.840.113713.4.100.1.2.165913523612905297439361534772889 -> Min: 0.0, Max: 3418.0
Series: 1.2.840.113713.4.100.1.2.166925371012469795324007016031031 -> Min: 0.0, Max: 3519.0
Series: 1.2.840.113713.4.100.1.2.169799964513081898616328856322759 -> Min: 0.0, Max: 3804.0
Series: 1.2.840.113713.4.100.1.2.172182099912505833606795014633693 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.173687797312792315500476115650353 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.175609802712893786621900120330772 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.176115661410141914431966936711203 -> Min: 0.0, Max: 2902.0
Series: 1.2.840.113713.4.100.1.2.176586985013246272417163250480792 -> Min: 0.0, Max: 3471.0
Series: 1.2.840.113713.4.100.1.2.177648255011431569742946172392520 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.178810282111131787716253159700530 -> Min: 0.0, Max: 2936.0
Series: 1.2.840.113713.4.100.1.2.178976999310453652602541630921310 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.180701372213163408008200483141070 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.181155845812705001102574803232451 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.181671693811006576215298771262638 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.184287967511255545740077165260514 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.188229651111208095062991860628591 -> Min: 0.0, Max: 2800.0
Series: 1.2.840.113713.4.100.1.2.189054420012361182325213152392104 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.189066492213882648739802953200363 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.190676082811477959125275316864219 -> Min: 0.0, Max: 2954.0
Series: 1.2.840.113713.4.100.1.2.192648683713555151812307217271829 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.192823039813477635822754794502765 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.193809490112515629302635557561227 -> Min: 0.0, Max: 2751.0
Series: 1.2.840.113713.4.100.1.2.195831703310515683503441396580765 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.196036816812393485122476376773801 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.196343606412082243638970415683206 -> Min: 0.0, Max: 3879.0
Series: 1.2.840.113713.4.100.1.2.198474565012202771002032918384061 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.200902210013285639440059153150880 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.203754104111903059901960144762068 -> Min: 0.0, Max: 3463.0
Series: 1.2.840.113713.4.100.1.2.205243460910727828940201552773429 -> Min: 0.0, Max: 2850.0
Series: 1.2.840.113713.4.100.1.2.206267764911420682403017360821617 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.207579364412972853520932542751981 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.207815886912199037718534253301568 -> Min: 0.0, Max: 2973.0
Series: 1.2.840.113713.4.100.1.2.207960908311125684618760964262783 -> Min: 0.0, Max: 3215.0
Series: 1.2.840.113713.4.100.1.2.208474440110375219389319950937908 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.208613662412840393909920777110183 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.208931105413019076506140476570884 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.209025642610450817922674359193580 -> Min: 0.0, Max: 3372.0
Series: 1.2.840.113713.4.100.1.2.210054235812041813802534002272630 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.212003498511132513827988133673095 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.212211996124430277055915891719230 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.214090270911387329406954144463186 -> Min: 0.0, Max: 3166.0
Series: 1.2.840.113713.4.100.1.2.216005588011783247312913063681661 -> Min: 0.0, Max: 3954.0
Series: 1.2.840.113713.4.100.1.2.216458163011462804912983277370039 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.216970551112653022537781210890849 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.218214806613998062101117802573348 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.220653306711905785320753568044164 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.221186158511789440634602014030091 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.222321696311514685609614240162062 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.224573257112456541524261684830551 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.226021859312890366438610246512316 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.227881727111021216740014846721061 -> Min: 0.0, Max: 3467.0
Series: 1.2.840.113713.4.100.1.2.228774857911055385702008705730731 -> Min: 0.0, Max: 3559.0
Series: 1.2.840.113713.4.100.1.2.229305812812403071200953217561674 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.229480244611824606808833798534055 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.230763215711280878823861748570816 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.232177215311469131825040971793639 -> Min: 0.0, Max: 2717.0
Series: 1.2.840.113713.4.100.1.2.232787806510266700534236637653576 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.235811276511922561441159699722321 -> Min: 0.0, Max: 2705.0
Series: 1.2.840.113713.4.100.1.2.236420050411865519838201450510282 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.236648402011131374007078475951842 -> Min: 0.0, Max: 3497.0
Series: 1.2.840.113713.4.100.1.2.237452620311306183835369092062191 -> Min: 0.0, Max: 2712.0
Series: 1.2.840.113713.4.100.1.2.238790641811258790713795728791712 -> Min: 0.0, Max: 2657.0
Series: 1.2.840.113713.4.100.1.2.238970415511440716918806498891984 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.239009705311945377407641130790576 -> Min: 0.0, Max: 3625.0
Series: 1.2.840.113713.4.100.1.2.241562471612396037311903031540983 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.242689427112434372742656526692811 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.243135140311981082702016459582249 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.243513766132854552331959770927792 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.246580221511290470132742478101839 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.247624115612128275605998944264001 -> Min: 0.0, Max: 3633.0
Series: 1.2.840.113713.4.100.1.2.248900971211454802805923585800406 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.250687630711232297802716133392863 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.252280333311533171303489466001860 -> Min: 0.0, Max: 2757.0
Series: 1.2.840.113713.4.100.1.2.253796006910244518022758614204283 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.255599314712439552039996309944048 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.257266627111133439114157152103450 -> Min: 0.0, Max: 3266.0
Series: 1.2.840.113713.4.100.1.2.258662068711022721136295479642665 -> Min: 0.0, Max: 2558.0
Series: 1.2.840.113713.4.100.1.2.258984405512899379926125902093070 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.259344240313116893506381902391049 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.259630480411208965825840198491433 -> Min: 0.0, Max: 3061.0
Series: 1.2.840.113713.4.100.1.2.259672588012281083432249189221188 -> Min: 0.0, Max: 2974.0
Series: 1.2.840.113713.4.100.1.2.259762130710556225524394221431911 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.260892037312214319822833181804062 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.262990409213147100927629505622692 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.264956284812439073601244131023274 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.265318511123366073254130829108731 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.265387504011040018606447517961936 -> Min: 0.0, Max: 2855.0
Series: 1.2.840.113713.4.100.1.2.265393981911312334628354845891604 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.265471262123539212380082219908710 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.267781772412796507022744203720851 -> Min: 0.0, Max: 3060.0
Series: 1.2.840.113713.4.100.1.2.267902626123015174082961345908349 -> Min: 0.0, Max: 2917.0
Series: 1.2.840.113713.4.100.1.2.268184346111775345622087661181566 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.268427893125415579074802805209111 -> Min: 0.0, Max: 3745.0
Series: 1.2.840.113713.4.100.1.2.268957077311876203115653958830214 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.269170308512576882435541854032870 -> Min: 0.0, Max: 3191.0
Series: 1.2.840.113713.4.100.1.2.270717080812090278735336984432482 -> Min: 0.0, Max: 3028.0
Series: 1.2.840.113713.4.100.1.2.271665081312473733501898597623396 -> Min: 0.0, Max: 3828.0
Series: 1.2.840.113713.4.100.1.2.273873478112906470303899882261899 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.274220824513993453524567364213229 -> Min: 0.0, Max: 2735.0
Series: 1.2.840.113713.4.100.1.2.274724192212164452904629820392881 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.275212904106568500270100468822335 -> Min: 0.0, Max: 3047.0
Series: 1.2.840.113713.4.100.1.2.275968096213904609412031735674259 -> Min: 0.0, Max: 3009.0
Series: 1.2.840.113713.4.100.1.2.278193456410728864942724973282268 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.278586722011073285225170356534221 -> Min: 0.0, Max: 2853.0
Series: 1.2.840.113713.4.100.1.2.279970905712444447140272797803288 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.280720491612597289919952784713018 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.285597639013755363124422854570376 -> Min: 0.0, Max: 3414.0
Series: 1.2.840.113713.4.100.1.2.287283397411755053330165224223473 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.288337279411856457715735919960221 -> Min: 0.0, Max: 3466.0
Series: 1.2.840.113713.4.100.1.2.290525922413334783735465585983534 -> Min: 0.0, Max: 2802.0
Series: 1.2.840.113713.4.100.1.2.290573188111996224609135827512506 -> Min: 0.0, Max: 3484.0
Series: 1.2.840.113713.4.100.1.2.291717281511617093631083652412976 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.293063099010607380600359704522124 -> Min: 0.0, Max: 2983.0
Series: 1.2.840.113713.4.100.1.2.293570434312529074629392226620555 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.294873510611241944729903717343217 -> Min: 0.0, Max: 2935.0
Series: 1.2.840.113713.4.100.1.2.295203634311228395439339288753118 -> Min: 0.0, Max: 3580.0
Series: 1.2.840.113713.4.100.1.2.295243655811811801628361565740123 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.295514061813668636913644266351623 -> Min: 0.0, Max: 2880.0
Series: 1.2.840.113713.4.100.1.2.295792902813521876324750038061966 -> Min: 0.0, Max: 3068.0
Series: 1.2.840.113713.4.100.1.2.296025173110705081234678460263687 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.305264996210899636200034113853324 -> Min: 0.0, Max: 3352.0
Series: 1.2.840.113713.4.100.1.2.305639783137992452363933534327667 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.308240620130375726195140112214260 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.308481416112750972529095591701446 -> Min: 0.0, Max: 2965.0
Series: 1.2.840.113713.4.100.1.2.308640466412357312223097832171448 -> Min: 0.0, Max: 2577.0
Series: 1.2.840.113713.4.100.1.2.310086300212904160703482251540856 -> Min: 0.0, Max: 2567.0
Series: 1.2.840.113713.4.100.1.2.310140330811039400409228983373831 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.313228160912543563640678506623308 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.313658977013462463432156632620326 -> Min: 0.0, Max: 2777.0
Series: 1.2.840.113713.4.100.1.2.313767519612442010219922297622038 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.313933515111061383340082589461076 -> Min: 0.0, Max: 2715.0
Series: 1.2.840.113713.4.100.1.2.314759385133938941265106398236163 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.318110030711135040908965154673252 -> Min: 0.0, Max: 3635.0
Series: 1.2.840.113713.4.100.1.2.320551604911206327606307342502831 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.321652231611593113217538169954098 -> Min: 0.0, Max: 3197.0
Series: 1.2.840.113713.4.100.1.2.322505066112357577432473872943836 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.323380849112161490383998891405243 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.323731316211472438311521043553667 -> Min: 0.0, Max: 2935.0
Series: 1.2.840.113713.4.100.1.2.324155710311081575612259053352166 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.324534717111862779106837992190598 -> Min: 0.0, Max: 2613.0
Series: 1.2.840.113713.4.100.1.2.325410818813558674831214762351969 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.325588625012373477710435874873259 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.328039511136764473286903644917413 -> Min: 0.0, Max: 2714.0
Series: 1.2.840.113713.4.100.1.2.328238847312169938523329808662968 -> Min: 0.0, Max: 3166.0
Series: 1.2.840.113713.4.100.1.2.329509500912022682919616341990303 -> Min: 0.0, Max: 2777.0
Series: 1.2.840.113713.4.100.1.2.329801375913025849009284166500924 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.330652811911981505029522531002403 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.331016561811562488126395677460099 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.332746550711629248741696628793683 -> Min: 0.0, Max: 2959.0
Series: 1.2.840.113713.4.100.1.2.336345154413314747532593153750867 -> Min: 0.0, Max: 3475.0
Series: 1.2.840.113713.4.100.1.2.337859476012029935940882948260263 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.337898298111686761433509738694120 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.339094857613126590639222050560955 -> Min: 0.0, Max: 3546.0
Series: 1.2.840.113713.4.100.1.2.340621114811986953434753332930752 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.340972280911804577003052832560654 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.343124959010884474332225235360668 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.346474428012803293435130909671221 -> Min: 0.0, Max: 3270.0
Series: 1.2.840.113713.4.100.1.2.349236225410435586917146988843159 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.353440604812106437341788579050479 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.356931106312766076203483268360699 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.357174494118153822244644060303602 -> Min: 0.0, Max: 3622.0
Series: 1.2.840.113713.4.100.1.2.357588577811080801531147475591207 -> Min: 0.0, Max: 3867.0
Series: 1.2.840.113713.4.100.1.2.359683964912137970805209888463509 -> Min: 0.0, Max: 3567.0
Series: 1.2.840.113713.4.100.1.2.360236940011451848416961517212321 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.360652358711325626738254419423860 -> Min: 0.0, Max: 2538.0
Series: 1.2.840.113713.4.100.1.2.361355488412093425528596543012311 -> Min: 0.0, Max: 3630.0
Series: 1.2.840.113713.4.100.1.2.364088475410268216109462488670507 -> Min: 0.0, Max: 2650.0
Series: 1.2.840.113713.4.100.1.2.365333015812927034708958455631380 -> Min: 0.0, Max: 3012.0
Series: 1.2.840.113713.4.100.1.2.370295642612492598603081478562390 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.372580341911809317911193952162446 -> Min: 0.0, Max: 2827.0
Series: 1.2.840.113713.4.100.1.2.372971528106250946338518080105724 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.375388019412364062433329519942938 -> Min: 0.0, Max: 3023.0
Series: 1.2.840.113713.4.100.1.2.379665671213975700120373671973465 -> Min: 0.0, Max: 2831.0
Series: 1.2.840.113713.4.100.1.2.382590524911540297037526670270905 -> Min: 0.0, Max: 3665.0
Series: 1.2.840.113713.4.100.1.2.382733274012314763740057947140031 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.384014633211438405325753742222994 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.384834650812486783201584733463211 -> Min: 0.0, Max: 2789.0
Series: 1.2.840.113713.4.100.1.2.385132863712414703907114522981156 -> Min: 0.0, Max: 3666.0
Series: 1.2.840.113713.4.100.1.2.387637025611714728906566427473627 -> Min: 0.0, Max: 2726.0
Series: 1.2.840.113713.4.100.1.2.387706823911664641611453520722253 -> Min: 0.0, Max: 2828.0
Series: 1.2.840.113713.4.100.1.2.389373016813838386734542189111558 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.389607552112458811905861799831673 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.390471942135993742067757785816753 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.390594062611818944700568623834193 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.391657799612186685307136774641530 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.392845389013932811216718941703227 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.393531092213551668320065655264229 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.393926592212665272437976564962817 -> Min: 0.0, Max: 3621.0
Series: 1.2.840.113713.4.100.1.2.394547373512744769812489777941349 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.395794501131640142113588956415627 -> Min: 0.0, Max: 3529.0
Series: 1.2.840.113713.4.100.1.2.395878679311348012332374796084166 -> Min: 0.0, Max: 2684.0
Series: 1.2.840.113713.4.100.1.2.398710534012550405217812294984094 -> Min: 0.0, Max: 3074.0
Series: 1.2.840.113713.4.100.1.2.400267478612372894835978180151665 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.401144468012706811417123498321402 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.402166510710739460800550104453052 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.402504919912698092300315665070359 -> Min: 0.0, Max: 3653.0
Series: 1.2.840.113713.4.100.1.2.407882596712052345731003422061347 -> Min: 0.0, Max: 2579.0
Series: 1.2.840.113713.4.100.1.2.408095256129237418219362445716889 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.408320659510065668729016370331885 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.410482642711306521000220038841625 -> Min: 0.0, Max: 3148.0
Series: 1.2.840.113713.4.100.1.2.412595409611007295630701656610434 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.417191750811253564440394161982312 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.418493940511020619524281338081097 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.421551875912581912025016347073117 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.423055004812645763323368001901203 -> Min: 0.0, Max: 2942.0
Series: 1.2.840.113713.4.100.1.2.423221288012501718530998632110816 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.425368634117250222121187854536537 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.425771834712285256328280869562560 -> Min: 0.0, Max: 3152.0
Series: 1.2.840.113713.4.100.1.2.427796375412129674226212968163704 -> Min: 0.0, Max: 3783.0
Series: 1.2.840.113713.4.100.1.2.427852905212688880131307987684181 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.429586383113966624145669163330622 -> Min: 0.0, Max: 3853.0
Series: 1.2.840.113713.4.100.1.2.455780235116268952397487707134097 -> Min: 0.0, Max: 4024.0
Series: 1.2.840.113713.4.100.1.2.462000244113506107139395781902234 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.474349674129191603229781313333316 -> Min: 0.0, Max: 3059.0
Series: 1.2.840.113713.4.100.1.2.480940359130256578087654134940756 -> Min: 0.0, Max: 4095.0
